id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,loss
1775,144,8,0.9566896970000001,3500,10,8722,6.0,1003.0,149.09,145.47,15,0.5923,0.5923,2507479,0.5789,0.2081,0.0441,0.6016,0.6581,0.6417,3318342720.0,77,46,942711.0,106.27,90.02,107.76,90.63,77.0,0.7333,0,0,0,12,0,0,0.33405,0.21729,0
1776,117,10,0.837654858,2200,16,83247,7745.0,1221.0,117.24,116.99,13,0.7815,0.7815,6291210,0.7561,0.75,0.4911,0.7881,0.8304,0.8304,1781002080.0,93,46,1011933.0,93.0,93.0,122.89,106.45,93.0,0.9490000000000001,0,0,0,6,0,0,0.705,0.745,0
1777,123,10,0.840820413,1100,4,80125,6142.0,5655.0,122.63,123.0,15,0.7458,0.7458,281322,0.7458,0.7458,0.5056,0.7458,0.8,0.7719,1257315840.0,88,57,952512.0,88.0,88.0,88.0,88.0,88.0,0.88,0,0,0,4,0,0,0.6929,0.73122,0
1778,137,8,0.5483478070000001,4200,4,82046,579.0,1799.0,140.75,137.39,10,0.4921,0.4921,2013022,0.4921,0.4921,0.2178,0.4921,0.5439,0.5439,1953520800.0,62,40,538160.0,85.57,72.48,98.73,77.69,62.0,0.7045,0,0,0,2,0,0,0.62605,0.52289,0
1779,124,10,0.611030931,1800,4,78053,1669.0,1786.0,125.25,124.09,11,0.7917,0.7917,2574665,0.76,0.76,0.5684,0.8051,0.8559,0.8559,2462020000.0,95,60,1119100.0,95.0,95.0,132.95,111.81,95.0,0.9896,0,0,0,5,0,0,0.72,0.754,0
1780,130,8,0.695823643,2200,4,78223,1637.0,7413.0,128.35,129.7,9,0.8644,0.843,2754566,0.8571,0.843,0.6912,0.843,0.8947,0.8947,3023152704.0,102,80,1321308.0,102.0,102.0,134.78,116.76,102.0,0.9533,0,0,0,20,0,0,0.8215,0.8387,0
1781,122,10,0.551287206,1500,17,1721,3787.0,463.0,121.76,121.89,14,0.8496,0.7869,3624911,0.7805,0.7742,0.5889,0.8421,0.8727,0.8571,1717309440.0,96,38,1115136.0,96.0,96.0,126.85,109.89,96.0,0.9231,0,0,0,95,0,0,0.7371,0.76678,0
1782,150,8,0.299684396,3700,3,80628,1816.0,4327.0,149.63,149.93,14,0.24,0.24,220307,0.2256,0.0811,0.0063,0.2521,0.2703,0.25,472032000.0,30,0,134100.0,42.44,35.49,47.77,37.59,30.0,0.3297,0,0,0,3,0,0,0.32055,0.14299,0
1783,125,10,0.9822687259999999,1600,16,75464,1809.0,146.0,122.78,124.51,12,0.7105,0.7105,1641579,0.6532,0.6532,0.4303,0.7168,0.757,0.7431,1237667040.0,81,20,787320.0,81.0,81.0,81.0,81.0,81.0,0.8182,0,0,0,48,0,0,0.7266,0.66788,0
1784,135,10,0.40729968,2600,16,76831,377.0,790.0,130.33,133.85,13,0.9224,0.9224,343436,0.9068,0.9068,0.7492,0.9068,0.9640000000000001,0.9640000000000001,3407909340.0,107,70,1408227.0,107.0,107.0,149.75,125.94,107.0,1.0,0,0,0,27,0,0,0.8234,0.89612,0
1785,130,6,0.994793024,1300,3,81224,771.0,619.0,129.38,129.81,9,0.8390000000000001,0.8390000000000001,3592726,0.8390000000000001,0.8390000000000001,0.6659,0.8390000000000001,0.8534,0.8534,1655976960.0,99,85,1254528.0,99.0,99.0,99.0,99.0,99.0,0.9083,0,0,0,23,0,0,0.8295,0.8351,0
1786,127,4,0.7403179320000001,1800,4,12780,6887.0,2500.0,127.1,126.78,5,0.6639,0.6423,9921243,0.6423,0.6371,0.3756,0.6583,0.6695,0.6423,1362035840.0,79,46,773884.0,79.0,79.0,79.0,79.0,79.0,0.7248,0,0,0,9,0,0,0.71855,0.6633899999999999,2
1787,128,10,0.8565156490000001,2100,16,79371,3468.0,132.0,127.37,127.9,12,0.5738,0.5738,1877835,0.56,0.56,0.3161,0.5645,0.6364,0.6087,1369060000.0,70,0,622300.0,70.0,70.0,86.28,77.47,70.0,0.6796,0,0,0,9,0,0,0.65,0.574,0
1788,129,8,0.7749555309999999,2200,16,82384,2115.0,1334.0,128.13,128.96,6,0.8319,0.8319,2420331,0.8049,0.7984,0.6136,0.8182,0.8609,0.8609,2225219040.0,99,73,1264329.0,99.0,99.0,122.03,109.56,99.0,0.9167,0,0,0,44,0,0,0.8292,0.8085600000000001,0
1789,120,10,0.597838444,1300,4,79782,23.0,6800.0,120.74,119.91,12,0.7863,0.7863,241675,0.748,0.748,0.5218,0.7863,0.8142,0.8142,1107937600.0,92,46,1007216.0,92.0,92.0,92.0,92.0,92.0,0.9109,0,0,0,53,0,0,0.764,0.7532,0
1790,124,9,0.5236800629999999,1100,16,86349,2757.0,3797.0,130.21,125.31,9,0.8319,0.8034,1506027,0.7642,0.7642,0.6272,0.8034,0.8319,0.8319,1355795840.0,94,58,1210532.0,94.0,94.0,94.0,94.0,94.0,0.9691,0,0,0,14,0,0,0.7421,0.76778,0
1791,151,4,0.7933462440000001,3500,4,80135,2622.0,6331.0,151.5,150.38,21,0.9587,0.9355,2993278,0.9206,0.9206,0.7788,0.9587,0.9587,0.9279999999999999,6984875040.0,116,134,1924208.0,160.09,135.61,170.48,139.81,116.0,1.0,0,0,0,5,0,0,0.7403,0.89854,0
1792,151,7,0.066706003,5300,3,12290,7669.0,1068.0,153.25,151.31,17,0.7344,0.7344,2894838,0.7344,0.7344,0.5082,0.746,0.8785,0.8103,7184728320.0,94,101,1360744.0,141.88,114.77,144.15,115.66,94.0,0.9126,0,0,0,3,0,0,0.7072,0.72096,0
1793,123,10,0.110211537,2600,16,80421,1970.0,3802.0,123.42,123.06,12,0.8091,0.7672,414703,0.7672,0.7672,0.5494,0.7672,0.8165,0.7807,1867169804.0,89,27,982204.0,89.0,89.0,89.0,89.0,89.0,0.8725,0,0,0,13,0,0,0.7236,0.75048,9
1794,123,7,0.305158093,1300,4,76872,4027.0,3402.0,123.66,123.16,10,0.8644,0.8644,2983741,0.8644,0.8644,0.6903,0.8644,0.8793,0.8793,1716660000.0,102,87,1300500.0,102.0,102.0,102.0,102.0,102.0,0.9714,0,0,0,10,0,0,0.8722,0.8679600000000001,0
1795,160,9,0.7344911390000001,3500,4,83698,368.0,5975.0,151.38,157.79,13,0.6587,0.2243,161042,0.6241,0.2243,0.0442,0.6484,0.7094,0.6917,3322151360.0,83,57,943793.0,114.55,97.03,121.98,100.03,83.0,0.8384,0,0,0,4,0,0,0.37215,0.25187,0
1796,127,9,0.957740406,1800,4,76831,4024.0,2122.0,127.5,127.24,8,0.3866,0.374,1244484,0.374,0.371,0.1335,0.3802,0.4182,0.4107,502021000.0,46,0,275080.0,46.0,46.0,60.78,52.66,46.0,0.4694,0,0,0,4,0,0,0.5455,0.4039,0
1797,109,9,0.228235629,1500,4,79015,206.0,2182.0,118.5,111.0,9,0.5556,0.5508,967467,0.5508,0.5508,0.2893,0.5556,0.6132,0.5804,719433000.0,65,15,545025.0,65.0,65.0,65.0,65.0,65.0,0.6566,0,0,0,4,0,0,0.4954,0.53572,0
1798,145,8,0.7490761490000001,6800,2,14404,455.0,733.0,147.56,145.53,18,0.0,0.0,2300971,0.0,0.0,0.285,0.0,0.0,0.0,8459971520.0,0,0,1479016.0,0.0,0.0,0.0,0.0,98.0,0.0,0,0,0,35,0,0,0.38,0.08,0
1799,123,10,0.5895587379999999,1800,4,78935,1364.0,4467.0,123.7,123.19,13,0.6637,0.6356,535552,0.6356,0.6356,0.3741,0.6356,0.6944,0.6757,1679062500.0,75,1,703125.0,75.0,75.0,99.1,85.85,75.0,0.7576,0,0,0,8,0,0,0.6178,0.6220399999999999,0
1800,153,7,0.740865656,4300,10,86025,356.0,1244.0,152.5,152.98,14,0.5736,0.5736,257305,0.5736,0.5736,0.3108,0.5736,0.6667,0.6667,3133476720.0,74,71,837828.0,74.0,74.0,113.48,91.05,74.0,0.8409,0,0,0,2,0,0,0.3868,0.5362399999999999,0
1801,120,8,0.132164898,3100,4,6901,824.0,1525.0,123.93,120.8,9,0.8364,0.8,2586992,0.8,0.7667,0.5573,0.7667,0.8598,0.8364,3336847360.0,92,72,1083392.0,92.0,92.0,128.75,108.28,92.0,0.9684,0,0,0,6,0,0,0.75335,0.76003,0
1802,130,10,0.46558848700000005,2500,4,80455,2541.0,4123.0,128.13,129.54,11,0.812,0.7787,2623570,0.76,0.76,0.573,0.8051,0.8261,0.8261,2481875000.0,95,56,1128125.0,95.0,95.0,132.95,111.81,95.0,0.9135,0,0,0,3,0,0,0.72,0.754,0
1803,145,9,0.721642453,3500,1,75668,110.0,373.0,147.82,145.44,11,0.0,0.0,843831,0.0,0.0,0.4916,0.0,0.0,0.0,3029400000.0,0,0,860625.0,0.0,0.0,0.0,0.0,75.0,0.0,0,0,0,5,0,0,0.18,0.03,0
1804,107,9,0.5760787470000001,1200,3,78149,314.0,2441.0,115.66,108.63,10,0.6695,0.6695,533971,0.6695,0.6695,0.4075,0.6752,0.7248,0.6809999999999999,1013288760.0,79,44,767643.0,79.0,79.0,79.0,79.0,79.0,0.8495,0,0,0,6,0,0,0.64475,0.66255,0
1805,159,7,0.174032823,5500,4,79281,2755.0,3164.0,160.41,159.62,4,0.8889,0.8819,3013175,0.875,0.875,0.7777,0.875,0.9912,0.9412,10994565120.0,112,148,2082304.0,169.04,136.74,184.5,142.67,112.0,1.0,0,0,0,5,0,0,0.8075,0.8575,0
1806,125,8,0.692101944,1500,16,2496,7727.0,2774.0,125.55,124.87,8,0.8034,0.8034,6265229,0.7642,0.7581,0.5739,0.8246,0.8393,0.8246,1673715120.0,94,77,1086828.0,94.0,94.0,115.86,104.03,94.0,0.9691,0,0,0,16,0,0,0.74905,0.7622899999999999,0
1807,129,6,0.930725373,1100,4,78252,4809.0,901.0,128.0,128.86,14,0.8220000000000001,0.8220000000000001,69578030,0.8220000000000001,0.8220000000000001,0.6393,0.8220000000000001,0.8362,0.8362,1589744640.0,97,76,1204352.0,97.0,97.0,97.0,97.0,97.0,0.8818,0,0,0,4,0,0,0.8109999999999999,0.8198,0
1808,129,8,0.957136608,1800,3,14234,4776.0,3422.0,129.77,129.13,15,0.7833,0.7581,3587852,0.7642,0.7581,0.5575,0.7581,0.8393,0.8319,2021676800.0,94,69,1148680.0,94.0,94.0,94.0,94.0,94.0,0.94,0,0,0,9,0,0,0.77905,0.7622899999999999,0
1809,116,9,0.17077031,1300,4,9290,5280.0,643.0,121.0,116.76,9,0.6409999999999999,0.6048,2141945,0.6048,0.6048,0.3781,0.6522,0.6881,0.6696,1083476250.0,75,42,691875.0,75.0,75.0,92.44,83.0,75.0,0.8152,0,0,0,3,0,0,0.6424,0.61432,0
1810,127,9,0.927568883,2200,4,13317,4522.0,4228.0,126.87,126.89,11,0.736,0.736,2286032,0.736,0.736,0.5417,0.7419,0.8,0.7863,2353686048.0,92,56,1066464.0,92.0,92.0,121.57,105.31,92.0,0.8846,0,0,0,10,0,0,0.748,0.7324,10
1811,123,6,0.105379819,2200,7,76872,6994.0,2661.0,128.5,124.62,10,0.7339,0.728,907933,0.728,0.728,0.5889,0.7339,0.7845,0.7845,2557504040.0,91,53,1159340.0,91.0,91.0,120.25,104.17,91.0,0.8426,0,0,0,11,0,0,0.7240000000000001,0.7252,0
1812,131,10,0.9150698890000001,1300,4,6901,191.0,2457.0,124.74,129.68,8,0.8305,0.8305,371453,0.8305,0.8305,0.6016,0.8376,0.8909,0.8596,1514051392.0,98,56,1133272.0,98.0,98.0,98.0,98.0,98.0,0.9515,0,0,0,17,0,0,0.80525,0.82745,0
1813,133,6,0.101639118,5400,10,76035,20.0,3772.0,140.98,133.92,17,0.7522,0.6855,10471,0.6538,0.6538,0.4061,0.6538,0.7456,0.7083,5451985000.0,85,112,1011500.0,143.89,109.71,148.5,111.4,85.0,1.0,0,0,0,18,0,0,0.7169,0.66842,0
1814,157,8,0.208753566,5300,10,13499,2743.0,1025.0,156.11,156.6,9,0.9115,0.8306,2646821,0.7923,0.7923,0.6474,0.8512,0.8879,0.8583,8691741520.0,103,119,1612568.0,171.91,132.04,174.96,133.17,103.0,0.9626,0,0,0,11,0,0,0.72615,0.7830699999999999,0
1815,122,10,0.868100105,2000,3,1919,7575.0,4188.0,127.92,123.32,13,0.7227,0.688,857831,0.688,0.688,0.5109,0.7227,0.8037,0.7748,2201818784.0,86,26,1005856.0,86.0,86.0,106.0,95.18,86.0,0.86,0,0,0,24,0,0,0.6940000000000001,0.6892,0
1816,126,8,0.57523857,1500,4,9290,3849.0,2468.0,127.4,126.4,9,0.7863,0.7419,5734559,0.748,0.7419,0.5811,0.748,0.8288,0.8214,1682389280.0,92,48,1100320.0,92.0,92.0,103.82,97.55,92.0,0.8932,0,0,0,51,0,0,0.74095,0.74771,0
1817,153,7,0.28739987100000003,5000,7,12290,7331.0,5615.0,154.27,152.96,14,0.0,0.0,14656749,0.0,0.0,0.4297,0.0,0.0,0.0,5471826800.0,0,69,1243597.0,0.0,0.0,0.0,0.0,89.0,0.0,0,0,0,17,0,0,0.35,0.07,0
1818,123,4,0.16662733300000002,2900,4,76957,2838.0,6042.0,127.07,123.87,12,0.8034,0.8034,6034,0.8034,0.8034,0.6174,0.8034,0.8103,0.8103,4105559040.0,94,81,1166352.0,94.0,94.0,131.55,110.64,94.0,0.9216,0,0,0,49,0,0,0.8117,0.80306,0
1819,125,3,0.10154298099999999,1500,10,2277,4475.0,2043.0,126.59,125.71,5,0.8547,0.8475,63108563,0.8475,0.8475,0.706,0.8475,0.8621,0.8621,1755600000.0,100,80,1330000.0,100.0,100.0,100.0,100.0,100.0,0.9174,0,0,0,9,0,0,0.86375,0.85275,7
1820,121,9,0.789450394,1300,3,81293,6943.0,2834.0,121.19,121.09,11,0.6333,0.6129,2091495,0.6179,0.6129,0.342,0.6129,0.6786,0.6726,1240222720.0,76,45,704672.0,76.0,76.0,85.76,80.59,76.0,0.8736,0,0,0,4,0,0,0.67645,0.62161,0
1821,154,8,0.6061620010000001,4300,4,87648,2290.0,4061.0,152.85,153.96,11,0.2757,0.2757,2219378,0.7669,0.2757,0.075,0.7669,0.8644,0.85,5639800320.0,102,108,1602216.0,144.3,120.68,156.42,125.5,102.0,0.9714,0,0,0,8,0,0,0.29785,0.27813000000000004,0
1822,122,10,0.45435291,2200,3,82379,788.0,6326.0,125.24,122.7,15,0.7913,0.7778,129079,0.7398,0.7339,0.5185,0.8053,0.8426,0.8125,1880118240.0,91,55,1068249.0,91.0,91.0,120.25,104.17,91.0,0.9785,0,0,0,51,0,0,0.72695,0.73051,0
1823,131,10,0.615608171,1900,16,82449,6563.0,861.0,129.44,131.03,12,0.875,0.875,6671428,0.8448,0.7903,0.6492,0.8448,0.8829,0.8829,2640677424.0,98,61,1267728.0,98.0,98.0,98.0,98.0,98.0,0.9608,0,0,0,35,0,0,0.71515,0.79127,8
1824,149,8,0.600968822,4200,3,11933,38.0,117.0,153.91,150.12,12,0.0,0.0,1073000,0.0,0.0,0.2824,0.0,0.0,0.0,7702502720.0,0,0,1842704.0,0.0,0.0,0.0,0.0,106.0,,0,0,0,27,0,0,0.38,0.09,0
1825,123,6,0.04333576,1500,7,627,624.0,6305.0,125.59,123.49,27,0.6356,0.6048,11822629,0.6098,0.6048,0.3802,0.6098,0.6098,0.6098,1108800000.0,75,64,720000.0,75.0,75.0,75.0,75.0,75.0,0.8152,0,0,0,23,0,0,0.7324,0.63432,0
1826,138,9,0.53859157,1800,16,13689,7375.0,2525.0,132.84,136.9,14,0.7899,0.7581,5694270,0.7642,0.7581,0.5446,0.7581,0.8393,0.8319,1975022720.0,94,59,1122172.0,94.0,94.0,94.0,94.0,94.0,0.9307,0,0,0,24,0,0,0.71905,0.75229,0
1827,124,3,0.228305366,1500,10,75506,4000.0,10474.0,127.44,124.88,13,0.6917,0.6748,14898509,0.6748,0.6694,0.4838,0.6917,0.7281,0.7155,1411004980.0,83,68,916237.0,83.0,83.0,83.0,83.0,83.0,0.8646,0,0,0,6,0,0,0.6947,0.6724600000000001,0
1828,117,8,0.759635319,1300,3,783,525.0,876.0,117.61,117.09,9,0.8519,0.8440000000000001,120808,0.8214,0.8214,0.5854,0.8214,0.8440000000000001,0.8440000000000001,1208489920.0,92,47,998752.0,92.0,92.0,103.82,97.55,92.0,0.92,0,0,0,122,0,0,0.7807,0.81926,0
1829,165,9,0.472885998,3600,10,79754,7796.0,2094.0,160.57,163.88,11,0.8226,0.8226,3213952,0.8095,0.8095,0.6443,0.8095,0.8644,0.8644,5778277560.0,102,95,1591812.0,156.91,125.69,149.9,122.93,102.0,0.9903,0,0,0,11,0,0,0.65475,0.75855,0
1830,129,9,0.8687238820000001,1500,16,79649,1300.0,1309.0,126.38,128.5,13,0.7179,0.6942,623537,0.7119,0.6942,0.4644,0.7119,0.7636,0.7368,1168050240.0,84,79,874944.0,84.0,84.0,84.0,84.0,84.0,0.9882,0,0,0,4,0,0,0.6971,0.6947800000000001,0
1831,128,7,0.277775396,1100,4,76973,5132.0,1475.0,131.97,129.18,12,0.7805,0.7805,2679806,0.7805,0.7805,0.6685,0.8,0.8348,0.8205,1419264000.0,96,85,1290240.0,96.0,96.0,96.0,96.0,96.0,0.9505,0,0,0,91,0,0,0.80025,0.78245,8
1832,116,8,0.84909595,1100,16,13699,9066.0,5616.0,120.16,117.0,8,0.7368,0.7059,8679929,0.6829,0.6829,0.4643,0.7179,0.7434,0.7434,985723200.0,84,38,896112.0,84.0,84.0,94.79,89.07,84.0,0.7925,0,0,0,30,0,0,0.71145,0.6946100000000001,0
1833,157,7,0.6206542829999999,5400,3,83050,5.0,3905.0,155.2,156.67,15,0.0,0.0,439041,0.0,0.0,0.8451,0.0,0.0,0.0,9039228000.0,0,119,1325400.0,0.0,0.0,0.0,0.0,94.0,0.0,0,0,0,29,0,0,0.43,0.08,0
1834,131,10,0.45314341,1800,10,2572,6932.0,1208.0,131.19,131.2,13,0.6695,0.6529,411864,0.632,0.632,0.4216,0.632,0.7054,0.6752,1831926971.0,79,46,830053.0,79.0,79.0,104.39,90.43,79.0,0.8229,0,0,0,37,0,0,0.696,0.6488,0
1835,128,9,0.451674875,2200,16,8563,844.0,1218.0,127.17,127.95,6,0.8727,0.8276,1263167,0.8276,0.8276,0.6599,0.8276,0.8571,0.8571,2242510848.0,96,58,1179648.0,96.0,96.0,96.0,96.0,96.0,0.9412,0,0,0,17,0,0,0.7438,0.82484,0
1836,130,10,0.99464127,3500,16,78920,4809.0,6877.0,128.31,129.57,14,0.9252,0.8684,20728908,0.8684,0.8684,0.7509,0.9429,1.0,0.9252,3119423076.0,99,61,1234926.0,99.0,99.0,130.82,113.32,99.0,0.9802,0,0,0,20,0,0,0.8342,0.86156,0
1837,121,9,0.8400813640000001,1100,3,7458,4839.0,5913.0,120.75,120.99,14,0.6017,0.6017,5661781,0.6017,0.6017,0.3238,0.6068,0.6455,0.6228,808198325.0,71,8,609961.0,71.0,71.0,71.0,71.0,71.0,0.7396,0,0,0,2,0,0,0.65085,0.61153,0
1838,158,2,0.457040224,4400,1,14002,5201.0,4435.0,155.13,157.39,5,0.8534,0.8534,2124756,0.8182,0.8182,0.6386,0.825,0.825,0.825,7046526960.0,99,112,1489752.0,160.31,125.06,163.08,126.11,99.0,1.0,0,0,0,5,0,0,0.5491,0.74638,0
1839,118,10,0.692596082,1100,16,76831,343.0,759.0,120.44,118.15,9,0.6218,0.5968,2577683,0.6016,0.5968,0.3163,0.6116,0.6667,0.6549,1146893440.0,74,18,651644.0,74.0,74.0,91.21,81.9,74.0,0.7708,0,0,0,8,0,0,0.6084,0.59712,0
1840,132,9,0.075008114,2000,4,13317,244.0,2657.0,128.44,131.08,8,0.7040000000000001,0.7040000000000001,14014404,0.7040000000000001,0.7040000000000001,0.4799,0.7097,0.7652,0.7521,2052036096.0,88,54,944768.0,88.0,88.0,108.47,97.39,88.0,0.8627,0,0,0,5,0,0,0.732,0.7036,0
1841,132,11,0.11939856900000001,1800,16,76831,9173.0,1009.0,127.67,130.82,12,0.7265,0.6855,21485190,0.6855,0.6855,0.4738,0.7203,0.8173,0.787,1361190000.0,85,31,867000.0,85.0,85.0,104.77,94.07,85.0,0.8763,0,0,0,7,0,0,0.65275,0.67695,0
1842,155,8,0.797610039,4400,4,75932,2629.0,2531.0,157.39,155.53,11,0.8595,0.8595,173242,0.8254,0.8125,0.6363,0.8889,0.9286,0.9043,7614464000.0,104,118,1730560.0,153.83,125.74,165.62,130.32,104.0,0.9905,0,0,0,8,0,0,0.64625,0.76125,0
1843,120,10,0.644156087,1100,16,85723,1066.0,6726.0,125.32,121.21,12,0.823,0.7949,722213,0.7561,0.7561,0.5915,0.8304,0.8942,0.8455,1278668160.0,93,47,1141668.0,93.0,93.0,93.0,93.0,93.0,0.9688,0,0,0,29,0,0,0.72805,0.74049,0
1844,129,8,0.82221266,2200,7,13689,7266.0,252.0,129.0,129.0,14,0.8034,0.8034,8169706,0.7642,0.7581,0.5532,0.7899,0.8468,0.8174,2006125440.0,94,65,1139844.0,94.0,94.0,94.0,94.0,94.0,0.8704,0,0,0,2,0,0,0.68905,0.74229,0
1845,126,9,0.803499327,1800,13,2277,5747.0,3006.0,127.5,126.3,12,0.7632,0.7131,25335461,0.7073,0.7016,0.5156,0.7436,0.7699,0.7632,1503657540.0,87,76,976401.0,87.0,87.0,107.24,96.28,87.0,0.9775,0,0,0,2,0,0,0.7008,0.70144,0
1846,116,8,0.507716142,3100,4,76973,1996.0,806.0,124.33,118.1,15,0.8108,0.8108,2880405,0.7826,0.75,0.575,0.8108,0.8108,0.8108,3442824000.0,90,66,1117800.0,90.0,90.0,125.96,105.93,90.0,0.9375,0,0,0,21,0,0,0.805,0.765,41
1847,125,8,0.44731427,1500,7,79004,2783.0,2709.0,126.55,125.59,12,0.8067,0.7742,1490594,0.7805,0.7742,0.5904,0.7742,0.8421,0.8348,2141061120.0,96,73,1216512.0,96.0,96.0,118.33,106.24,96.0,0.9412,0,0,0,6,0,0,0.7671,0.77678,0
1848,133,8,0.894764117,3500,7,83607,5462.0,1306.0,130.66,132.52,8,0.9735,0.9167,1651002,0.9565,0.9167,0.7967,0.9402,0.9821,0.9735,4770304000.0,110,85,1548800.0,110.0,110.0,153.95,129.47,110.0,1.0,0,0,0,5,0,0,0.86835,0.9150299999999999,0
1849,134,9,0.9478472579999999,1100,4,12780,5678.0,1485.0,128.54,132.77,11,0.7333,0.7154,11115429,0.7154,0.7154,0.4855,0.7521,0.7586,0.7586,1049466880.0,88,41,937024.0,88.0,88.0,88.0,88.0,88.0,0.8381,0,0,0,10,0,0,0.7477,0.7238600000000001,0
1850,147,7,0.120909365,4500,4,82281,389.0,3925.0,153.1,148.25,8,0.0,0.0,674483,0.0,0.0,0.5767,0.0,0.0,0.0,6715953750.0,0,0,1489125.0,0.0,0.0,0.0,0.0,95.0,,0,0,0,6,0,0,0.31,0.07,0
1851,156,8,0.523774754,5300,7,11723,7327.0,2099.0,156.17,155.69,8,0.8273,0.8125,3030624,0.8053,0.8053,0.6267,0.8273,0.8273,0.8125,6369082720.0,91,110,1258712.0,149.66,115.82,158.98,119.27,91.0,0.9785,0,0,0,8,0,0,0.74265,0.80477,0
1852,129,8,0.874375624,2600,16,79884,4625.0,1524.0,125.68,127.87,12,0.8673,0.8376,751204,0.8033,0.7538,0.5406,0.8448,0.8522,0.8448,2966483520.0,98,82,1123668.0,98.0,98.0,137.15,115.35,98.0,0.9515,0,0,0,26,0,0,0.7569,0.74842,12
1853,129,9,0.993764502,1300,3,80537,1664.0,1362.0,127.25,128.37,15,0.6975,0.6748,49989,0.6748,0.6748,0.4354,0.6917,0.7217,0.7094,924503800.0,83,52,840458.0,83.0,83.0,83.0,83.0,83.0,0.9121,0,0,0,3,0,0,0.5974,0.65732,0
1854,117,9,0.087034599,2200,4,85131,6530.0,2611.0,120.21,117.59,14,0.7647,0.7521,1237619,0.7647,0.7521,0.5328,0.7712,0.8585,0.8349,2291766750.0,91,50,1018563.0,91.0,91.0,91.0,91.0,91.0,0.9192,0,0,0,8,0,0,0.73605,0.7468899999999999,0
1855,129,9,0.192526965,2200,16,2572,1781.0,8220.0,129.0,129.0,6,0.8509,0.8291,16112432,0.7886,0.7823,0.5891,0.8291,0.8661,0.8584,2136219360.0,97,85,1213761.0,97.0,97.0,119.56,107.35,97.0,0.9898,0,0,0,3,0,0,0.75115,0.77407,0
1856,126,9,0.184729632,2200,4,3793,3594.0,3077.0,127.5,126.3,8,0.6992,0.6992,15573090,0.6992,0.6935,0.5038,0.7167,0.7544,0.7414,1469289360.0,86,64,954084.0,86.0,86.0,86.0,86.0,86.0,0.9053,0,0,0,2,0,0,0.69675,0.69415,0
1857,158,10,0.307131164,3700,7,77061,3726.0,5771.0,157.5,157.82,12,0.0,0.0,21388832,0.0,0.0,0.0686,0.0,0.0,0.0,4810227840.0,0,101,1366542.0,0.0,0.0,0.0,0.0,93.0,0.9886,0,0,0,2,0,0,0.13,0.03,0
1858,114,8,0.24352294100000002,1500,4,79004,2318.0,1984.0,119.12,114.94,10,0.7288,0.7288,1500590,0.7288,0.7288,0.4829,0.7288,0.7818,0.7544,1193536896.0,86,38,909708.0,86.0,86.0,106.0,95.18,86.0,0.8431,0,0,0,10,0,0,0.7144,0.72592,0
1859,123,6,0.38410147200000005,1800,4,3659,4112.0,3949.0,123.97,122.97,20,0.8859999999999999,0.8279,14458762,0.8211,0.8145,0.6572,0.8145,0.9099,0.8211,1916563880.0,101,101,1244522.0,101.0,101.0,101.0,101.0,101.0,0.9902,0,0,0,5,0,0,0.81725,0.81305,0
1860,159,8,0.756417146,3700,13,84827,2244.0,694.0,155.75,158.1,10,0.7317,0.6923,430689,0.6767,0.2432,0.0565,0.7031,0.7895,0.75,4248288000.0,90,106,1206900.0,124.21,105.21,125.96,105.93,90.0,1.0,0,0,0,3,0,0,0.5016,0.28888,2
1861,121,10,0.610422745,2700,3,79884,578.0,1561.0,130.87,124.03,13,0.8113,0.7963,240113,0.7963,0.7478,0.6444,0.7544,0.835,0.7963,3159541616.0,86,60,1138984.0,86.0,86.0,120.36,101.22,86.0,0.9885,0,0,0,109,0,0,0.7539,0.74302,0
1862,114,8,0.476971439,1500,4,393,125.0,3290.0,120.47,114.95,20,0.807,0.7541,638235,0.748,0.7419,0.5453,0.7419,0.8214,0.807,1590216320.0,92,80,1032608.0,92.0,92.0,92.0,92.0,92.0,0.9787,0,0,0,6,0,0,0.72095,0.7377100000000001,0
1863,124,3,0.146755634,1300,7,79202,6329.0,2816.0,123.88,123.91,14,0.8898,0.8898,34678108,0.8537,0.8537,0.7026,0.875,0.8824,0.8537,1491682500.0,105,100,1356075.0,105.0,105.0,105.0,105.0,105.0,0.9813,0,0,0,5,0,0,0.80685,0.8483299999999999,0
1864,125,6,0.278224658,1500,4,3793,7070.0,10295.0,127.34,125.59,29,0.8926,0.871,18879782,0.878,0.871,0.7416,0.9231,0.9391,0.8926,2689251840.0,108,103,1527984.0,108.0,108.0,133.12,119.52,108.0,0.973,0,0,0,14,0,0,0.7955,0.8439,0
1865,148,8,0.43896833399999996,3600,3,78904,166.0,1292.0,145.28,147.58,7,0.7297,0.7297,60360,0.675,0.675,0.4188,0.7232,0.7232,0.675,4676680800.0,81,77,944784.0,119.81,97.93,141.51,106.16,81.0,0.9101,0,0,0,18,0,0,0.4175,0.6075,0
1866,128,9,0.940503986,2200,4,76973,2898.0,1286.0,127.32,128.1,14,0.8509,0.7886,860416,0.7951,0.7462,0.5884,0.8362,0.8584,0.8220000000000001,3229168800.0,97,71,1223170.0,97.0,97.0,135.75,114.17,97.0,0.951,0,0,0,7,0,0,0.7531,0.75158,29
